"Statistic","County","Year","UNIT","Northern Ireland","Great Britain","U.S.A.","Other Countries"
"Population","State","1841","Number","24295","22625","1502","2048"
"Population","State","1851","Number","32763","34217","1622","6167"
"Population","State","1861","Number","30153","53305","2671","5537"
"Population","State","1871","Number","33870","67370","3044","10949"
"Population","State","1881","Number","32887","67577","5088","10467"
"Population","State","1891","Number","32977","68700","5264","10734"
"Population","State","1901","Number","32328","68000","7005","10859"
"Population","State","1911","Number","34980","79362","9339","11260"
"Population","State","1926","Number","35132","49354","9405","8317"
"Population","State","1936","Number","35139","46973","10111","8412"
"Population","State","1946","Number","33498","49444","8509","7426"
"Population","State","1961","Number","27129","53796","6447","11579"
"Population","State","1971","Number","26183","84038","11145","15930"
"Population","State","1981","Number","40557","146408","16591","28829"
"Population","State","1986","Number","36538","141254","15350","30858"
"Population","State","1991","Number","35986","137865","14533","40341"
"Population","State","1996","Number","41109","158144","18753","53171"
"Population","State","2002","Number","52884","211831","28063","155701"
"Population","State","2006","Number","53292","233779","32380","349683"
"Population","State","2011","Number","61516","243677","34617","477722"
"Population","State","2016","Number","62192","230896","38427","538832"
